Unnamed: 0,Brand,Model,Price,Location,Engine,Model Year,Fuel Type,Road Trip,Model_Year
224,Benelli,Benelli TNT 600i ,463500,,600cc,2016,petrol,12400,2016
225,Harley-Davidson,Harley-Davidson 1200 Custom ,721000,mumbai,120cc,2018,petrol,5000,2018
226,Triumph,Triumph Street Twin 900cc ,643750,mumbai,900cc,2017,petrol,11091,2017
227,Kawasaki,Kawasaki Ninja 650cc ,386250,mumbai,650cc,2017,petrol,6243,2017
228,Benelli,Benelli TNT 25 250cc ,115000,hyderabad,25cc,2017,petrol,4965,2017
229,Kawasaki,Kawasaki Ninja 650cc ,463500,hyderabad,650cc,2019,petrol,5700,2019
230,Kawasaki,Kawasaki Ninja 300cc ,231750,mumbai,300cc,2019,petrol,14000,2019
231,Harley-Davidson,Harley-Davidson Iron 883 ,598000,mumbai,883cc,2015,petrol,17000,2015
232,Kawasaki,Kawasaki Versys 650cc ,754000,bangalore,650cc,2020,petrol,3500,2020
233,Royal,Royal Enfield Interceptor 650cc ,260000,mumbai,650cc,2019,petrol,17000,2019
234,Benelli,Benelli TNT 25 250cc ,200000,mumbai,25cc,2016,petrol,2400,2016
235,BenelliImperiale,BenelliImperiale 400 BS6 ,207000,mumbai,400cc,2020,petrol,6500,2020
236,Husqvarna,Husqvarna Vitpilen 401 ,240000,mumbai,401cc,2021,petrol,9700,2021
237,Kawasaki,Kawasaki Ninja 300cc ,301600,mumbai,300cc,2019,petrol,8800,2019
238,Suzuki,Suzuki Hayabusa 1300cc ,1300000,mumbai,1300cc,2017,petrol,13400,2017
239,Kawasaki,Kawasaki Z900 ,988000,mumbai,650cc,2020,petrol,2150,2020
240,Kawasaki,Kawasaki Z650 ,441500,mumbai,650cc,2018,petrol,22950,2018
241,Kawasaki,Kawasaki Z650 ,462300,mumbai,650cc,2020,petrol,13300,2020
242,Triumph,Triumph Street Triple 765 ,805500,mumbai,765cc,2018,petrol,3600,2018
243,Kawasaki,Kawasaki ER-6n 650cc ,285500,mumbai,650cc,2015,petrol,28650,2015
244,Kawasaki,Kawasaki Z800 ,566300,hyderabad,650cc,2015,petrol,10450,2015
245,Royal,Royal Enfield Interceptor 650cc ,254300,bangalore,650cc,2019,petrol,2000,2019
246,BMW,BMW G 310 R ,275100,mumbai,310cc,2019,petrol,11000,2019
247,Benelli,Benelli TNT 600 GT ,425900,mumbai,600cc,2016,petrol,2000,2016
248,Ducati,Ducati Diavel 1200cc ,758700,mumbai,1200cc,2015,petrol,16000,2015
